,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,puerto ayora,75.0,EC,1569248005.0,82.0,-0.74,-90.35,20.0,4.1
1,hithadhoo,100.0,MV,1569248006.0,73.0,-0.6,73.08,27.34,2.01
2,vostok,46.0,RU,1569247746.0,77.0,46.45,135.83,10.94,2.39
3,shubarshi,99.0,KZ,1569247982.0,69.0,48.59,57.19,8.84,8.03
4,biak,98.0,ID,1569248006.0,98.0,-0.91,122.88,17.44,1.38
5,yellowknife,75.0,CA,1569248006.0,87.0,62.45,-114.38,6.0,7.7
6,atuona,70.0,PF,1569248007.0,80.0,-9.8,-139.03,25.94,8.76
7,albany,1.0,US,1569248007.0,65.0,42.65,-73.75,26.67,5.61
8,busselton,100.0,AU,1569248007.0,54.0,-33.64,115.35,12.78,4.69
9,bonga,37.0,ET,1569248007.0,96.0,7.26,36.25,17.64,0.51
10,te anau,65.0,NZ,1569248008.0,72.0,-45.41,167.72,5.34,3.7
11,bathsheba,40.0,BB,1569248008.0,74.0,13.22,-59.52,30.0,7.7
12,geraldton,90.0,CA,1569248009.0,87.0,49.72,-86.95,11.0,2.1
13,itupiranga,75.0,BR,1569247856.0,70.0,-5.13,-49.33,30.0,3.6
14,ushuaia,75.0,AR,1569248009.0,75.0,-54.81,-68.31,6.0,4.1
15,castro,75.0,CL,1569248009.0,100.0,-42.48,-73.76,6.0,2.6
16,hilo,90.0,US,1569247940.0,83.0,19.71,-155.08,26.0,1.5
17,vila velha,40.0,BR,1569248009.0,52.0,-3.71,-38.6,31.0,10.3
18,tazovskiy,97.0,RU,1569248009.0,84.0,67.47,78.7,2.64,9.75
19,punta arenas,75.0,CL,1569248010.0,87.0,-53.16,-70.91,10.0,1.5
20,kharp,100.0,RU,1569248010.0,89.0,66.82,65.8,-1.06,5.53
21,cutervo,38.0,PE,1569248010.0,48.0,-6.38,-78.82,21.44,5.02
22,hasaki,20.0,JP,1569248011.0,78.0,35.73,140.83,27.0,6.7
23,svay rieng,62.0,KH,1569248011.0,84.0,11.08,105.8,26.94,2.84
24,pisco,40.0,PE,1569248011.0,30.0,-13.71,-76.2,22.0,8.5
25,grand gaube,40.0,MU,1569248012.0,64.0,-20.01,57.66,23.0,6.7
26,mataura,52.0,NZ,1569248012.0,80.0,-46.19,168.86,6.11,3.13
27,severo-kurilsk,73.0,RU,1569248017.0,82.0,50.68,156.12,9.24,3.24
28,rikitea,100.0,PF,1569248017.0,75.0,-23.12,-134.97,20.14,7.15
29,longyearbyen,75.0,NO,1569248018.0,80.0,78.22,15.63,2.0,2.6
30,fengzhen,10.0,CN,1569248018.0,33.0,40.43,113.15,14.44,2.1
31,avarua,100.0,CK,1569248018.0,88.0,-21.21,-159.78,18.0,1.5
32,hofn,90.0,IS,1569248019.0,93.0,64.25,-15.21,11.0,1.5
33,mongoumba,86.0,CD,1569248019.0,52.0,3.64,18.59,32.04,0.41
34,touros,75.0,BR,1569248019.0,88.0,-5.2,-35.46,26.0,7.2
35,vaini,40.0,IN,1569248019.0,83.0,15.34,74.49,25.0,1.5
36,pembroke,90.0,CA,1569248020.0,93.0,45.82,-77.11,19.44,3.6
37,ketchikan,90.0,US,1569248020.0,87.0,55.34,-131.65,10.0,7.2
38,carutapera,98.0,BR,1569248020.0,62.0,-1.2,-46.02,29.84,4.13
39,kavieng,67.0,PG,1569248020.0,74.0,-2.57,150.8,28.04,3.67
40,kudahuvadhoo,95.0,MV,1569248020.0,79.0,2.67,72.89,27.94,6.27
41,aquiraz,40.0,BR,1569248021.0,52.0,-3.9,-38.39,31.0,10.3
42,upernavik,100.0,GL,1569248021.0,83.0,72.79,-56.15,3.34,1.25
43,katsuura,75.0,JP,1569248021.0,65.0,33.93,134.5,25.0,3.6
44,cherskiy,100.0,RU,1569248021.0,92.0,68.75,161.3,-2.16,1.62
45,port alfred,17.0,ZA,1569248021.0,72.0,-33.59,26.89,17.78,1.79
